src_ip,dst_ip,protocol,packet_size,timestamp,packet_count,connection_duration,syn_ack_ratio
172.20.144.1,239.255.255.250,17,169,1741863593.822753,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.853152,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.884076,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863593.913273,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.913921,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.944528,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863593.976671,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863594.008528,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863594.038480,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863594.071814,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863594.101331,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863594.132597,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863594.164377,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863594.196358,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863594.228632,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863594.258468,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1741863594.290211,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1741863594.319259,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1741863594.331417,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1741863594.336590,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863594.660859,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863594.907179,373,1625.965925,
172.20.144.1,239.255.255.250,17,143,1741863595.380461,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863595.914722,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1741863596.221280,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863596.919292,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863599.146111,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863599.178032,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863599.180245,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863599.379963,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1741863599.410749,373,1625.965925,
